,latitude,longitude,prcp,srad,tmax,tmin,vp
0,29.78944618,-95.48382236,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
1,29.79158823,-95.48175138,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
2,29.78940468,-95.48306071,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
3,29.79477965,-95.47714622,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
4,29.79261768,-95.48013842,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
5,29.7897277,-95.47507206,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
6,29.79283575,-95.47562669,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
7,29.79091927,-95.47560145,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
8,29.78516666,-95.48481284,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
9,29.79351273,-95.47858333,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
10,29.7927535,-95.4820865,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
11,29.7946041,-95.48013495,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
12,29.78705791,-95.48490403,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
13,29.7942267,-95.47858653,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
14,29.79375916,-95.48493082,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
15,29.79464075,-95.48266816,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
16,29.78948766,-95.48490934,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
17,29.78921238,-95.48225991,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
18,29.7874493,-95.47606637,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
19,29.78725893,-95.47575622,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
20,29.7934472,-95.48017903,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
21,29.79093288,-95.47994296,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
22,29.79159509,-95.48278529,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
23,29.79454995,-95.47644749,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
24,29.79045976,-95.48491064,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
25,29.79072702,-95.48177128,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
26,29.79430188,-95.48475255,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
27,29.78894384,-95.47556621,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
28,29.78658146,-95.48488182,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
29,29.7880952,-95.47583843,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
30,29.79164246,-95.47537069,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
31,29.78901512,-95.4849078,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
32,29.78661078,-95.47604641,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
33,29.78634858,-95.48057645,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
34,29.79430146,-95.48493253,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
35,29.78814573,-95.48181835,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
36,29.7928572,-95.47945103,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
37,29.79158479,-95.48123442,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
38,29.78980543,-95.48005369,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
39,29.78813928,-95.48026751,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
40,29.7863541,-95.4836781,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
41,29.79136716,-95.47993692,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
42,29.79072273,-95.48125434,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
43,29.78657266,-95.479803,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
44,29.79455286,-95.47692501,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
45,29.78814143,-95.48078445,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
46,29.79327175,-95.47563219,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
47,29.7880952,-95.47533435,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
48,29.79487718,-95.48470433,6.013941605839415,324.28083941605837,26.028284671532848,15.117481751824819,1923.6209854014598
