,Unnamed: 0,locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude,prcp,srad,swe,tmax,tmin,vp
0,0,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.0005165625,ppm,29.78944618,-95.48382236,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
1,60,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.0004566666667,ppm,29.79158823,-95.48175138,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
2,202,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.0005109457672,ppm,29.78940468,-95.48306071,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
3,242,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.0005786363636,ppm,29.79477965,-95.47714622,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
4,389,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.00037,ppm,29.79261768,-95.48013842,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
5,395,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.00067,ppm,29.7897277,-95.47507206,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
6,422,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.001125,ppm,29.79283575,-95.47562669,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
7,429,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.001063,ppm,29.79091927,-95.47560145,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
8,454,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.001816666667,ppm,29.78516666,-95.48481284,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
9,504,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.0004378571429,ppm,29.79351273,-95.47858333,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
10,582,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.00055,ppm,29.7927535,-95.4820865,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
11,601,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.000625,ppm,29.7946041,-95.48013495,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
12,655,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.00144,ppm,29.78705791,-95.48490403,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
13,696,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.000624375,ppm,29.7942267,-95.47858653,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
14,788,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.00113,ppm,29.79375916,-95.48493082,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
15,826,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.00073,ppm,29.79464075,-95.48266816,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
16,847,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.00115875,ppm,29.78948766,-95.48490934,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
17,943,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.0005086666667,ppm,29.78921238,-95.48225991,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
18,1098,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.00114375,ppm,29.7874493,-95.47606637,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
19,1116,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.00107,ppm,29.78725893,-95.47575622,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
20,1275,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.0003886309524,ppm,29.7934472,-95.48017903,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
21,1396,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,no2,0.0004932222222,ppm,29.79093288,-95.47994296,6.013941605839415,324.28083941605837,0.0,26.028284671532848,15.117481751824819,1923.6209854014598
