,locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
0,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,pm25,7.7525,µg/m³,29.79261768,-95.48013842
1,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,pm25,10.63158333,µg/m³,29.72451274,-95.41051955
2,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,pm25,9.577559524,µg/m³,29.73537796,-95.24094308
3,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,pm25,9.787916667,µg/m³,29.69442688,-95.26562623
4,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,pm25,10.35357143,µg/m³,29.60510749,-95.35544813
5,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,pm25,9.41,µg/m³,29.60062871,-95.32669403
6,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,pm25,9.3525,µg/m³,29.5996372,-95.35865568
7,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,pm25,8.621378205,µg/m³,29.71934124,-95.41462537
8,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,pm25,8.650769231,µg/m³,29.69801324,-95.52301805
9,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,pm25,8.10875,µg/m³,29.79785916,-95.47442947
10,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,pm25,11.8425,µg/m³,29.73243117,-95.24521133
11,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,pm25,8.0525,µg/m³,29.77293073,-95.37895192
12,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,pm25,8.699940476,µg/m³,29.60264926,-95.35516137
13,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,pm25,8.095833333,µg/m³,29.715072,-95.41568888
14,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,pm25,7.321060606,µg/m³,29.74416558,-95.23684835
15,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,pm25,8.524,µg/m³,29.74268111,-95.23385514
16,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,pm25,9.86,µg/m³,29.78415211,-95.4757909
17,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,pm25,8.0,µg/m³,29.69569478,-95.5045351
18,61509,,Houston,US,2018-03-31T06:00:00+00:00,2018-03-31T01:00:00-05:00,pm25,9.57,µg/m³,29.69490178,-95.53564737
